author,commits,added,deleted,files,bugfix_commits,avg_files_per_commit,avg_lines_per_commit,weekend_rate,experience,score,tier,salary_adjustment
 =,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Tomasz Kalkosiński,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Michael N. Gagnon,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 OrangeTux,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Paulo Poiati,1,32,1,0,0,0.0,33.0,0.0,0,0.004014902775537954,3,0.08
 Alex Couper,4,0,0,0,0,0.0,0.0,0.0,3,0.0004891304347826086,3,0.08
 Devon Mizelle,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 lambdadi,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 schneems,1,56,55,0,0,0.0,111.0,0.0,0,0.013431452752139294,2,0.12
 Max Countryman,4,34,0,0,1,0.0,8.5,0.0,3,0.0012137754683760017,3,0.08
 Trung Ly,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Baiju Muthukadan,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 oliversong,1,8,8,0,0,0.0,16.0,0.0,0,0.001935963063571738,3,0.08
 Iyra Gaura,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Gennady Kovshenin,1,9,2,0,0,0.0,11.0,0.0,0,0.0013359375964781088,3,0.08
 soulseekah,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Quentin Roy,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Mitchell Peabody,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3,0.08
 Corbin Simpson,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 jfinkels,2,0,0,0,1,0.0,0.0,0.5,1,0.0248170227170152,2,0.12
 Ryan Macy,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Ralph Bean,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Finbarr O'Callaghan,3,18,18,0,3,0.0,12.0,0.0,2,0.0007570129371122235,3,0.08
 pinchsp,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 d1ffuz0r,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Alex Morega,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Ben Rousch,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3,0.08
 Priit Laes,9,0,0,0,3,0.0,0.0,0.22,8,0.011266285542349933,2,0.12
 Paul McMillan,3,0,0,0,1,0.0,0.0,0.33,2,0.016480066195276068,2,0.12
 Sven Slootweg,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Ramiro Gomez,1,2,3,0,1,0.0,5.0,1.0,0,0.05025825869751013,1,0.15
 Randall Degges,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Akai Kitsune,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Simon Sapin,18,64,9,0,6,0.0,4.06,0.17,17,0.009774738478110417,2,0.12
 Ron DuPlain,122,1135,846,0,27,0.0,16.24,0.22,121,0.024948615533548407,2,0.12
 esaurito,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Laurens Van Houtven,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 bev-a-tron,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Ramiro Gómez,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Massimo Santini,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Natan L,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Alex Vykalyuk,3,0,0,0,1,0.0,0.0,0.33,2,0.016480066195276068,2,0.12
 ekoka,2,0,0,0,0,0.0,0.0,0.5,1,0.02516304347826087,2,0.12
 Vadim Pestovnikov,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Natan,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Florent Xicluna,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Dmitry Shevchenko,4,88,3,0,0,0.0,22.75,0.25,3,0.01585048195283676,2,0.12
 Sergey,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Pascal Hartig,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Kamil Kisiel,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Filip Ristić,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Jon Parise,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 jtsoi,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 iammookli,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 James Saryerwinnie,2,47,1,0,0,0.0,24.0,0.5,1,0.028116617976343867,2,0.12
 wilsaj,4,0,0,0,4,0.0,0.0,0.0,3,-0.0008949526102000905,6,-0.1
 Anton I. Sipos,1,50,38,0,0,0.0,88.0,0.0,0,0.010656304832968911,2,0.12
 Ned Jackson Lovely,4,0,0,0,0,0.0,0.0,0.0,3,0.0004891304347826086,3,0.08
 Christoph Heer,1,35,0,0,0,0.0,35.0,0.0,0,0.004259734152925872,3,0.08
 Thibaud Morel,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Matt Dawson,2,0,0,0,1,0.0,0.0,0.0,1,-0.00018297728298480523,6,-0.1
 Dave Shawley,3,53,5,0,1,0.0,19.33,0.0,2,0.0023804004810138073,3,0.08
 Jeffrey Finkelstein,3,81,19,0,2,0.0,33.33,0.33,2,0.02025812534202864,2,0.12
 Thiago de Arruda,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 awsum,3,0,0,0,1,0.0,0.0,0.33,2,0.016480066195276068,2,0.12
 Andrew Ash,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 FND,4,94,95,0,1,0.0,47.25,0.25,3,0.018460042150055776,2,0.12
 Joe Esposito,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Steven Osborn,1,30,1,0,0,0.0,31.0,1.0,0,0.05377148939537077,1,0.15
 Ori Livneh,5,0,0,0,0,0.0,0.0,1.0,4,0.05065217391304348,1,0.15
 Reisen,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Kyle Wild,2,0,0,0,1,0.0,0.0,1.0,1,0.0498170227170152,1,0.15
 Sundar Raman,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 ThomasWaldmann,3,0,0,0,3,0.0,0.0,0.67,2,0.032788024672784716,2,0.12
 Craig Dennis,1,3,3,0,0,0.0,6.0,1.0,0,0.05072598614883941,1,0.15
 Jim Rollenhagen,2,0,0,0,1,0.0,0.0,1.0,1,0.0498170227170152,1,0.15
 Cory Li,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Ross Lawley,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 kracekumar,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Michał Bartoszkiewicz,3,4,1,0,2,0.0,1.67,0.33,2,0.016340599539994286,2,0.12
 Joel Perras,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Pedro Algarvio,6,275,9,0,0,0.0,47.33,0.0,5,0.006898430460203525,2,0.12
 Christopher Currie,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Alexis Metaireau,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Brandon Stafford,2,0,0,0,1,0.0,0.0,0.0,1,-0.00018297728298480523,6,-0.1
 Dan Callahan,1,2,2,0,1,0.0,4.0,0.0,0,0.0001379700046472597,4,0
 Ustun Ozgur,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Felix Hummel,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 consigliere,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Jesse Dubay,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Bastian Hoyer,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Hadley Rich,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Luit van Drongelen,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Peter Manser,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Merlin,2,65,1,0,0,0.0,33.0,0.0,1,0.004224740162082763,3,0.08
 Steve Romanow,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Sharoon Thomas,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Aaron Kavlie,6,3,1,0,0,0.0,0.67,0.0,5,0.0009000648071846477,3,0.08
 streety,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Kanak Kshetri,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Rémy Roy,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Noufal Ibrahim,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 matt swanson,6,0,0,0,5,0.0,0.0,1.0,5,0.04908511358507598,2,0.12
 Matt Chisholm,1,136,4,0,1,0.0,140.0,0.0,0,0.01668724386157491,2,0.12
 Drew Vogel,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 mvantellingen,3,46,0,0,0,0.0,15.33,0.67,2,0.035735340490262925,2,0.12
 Sam Anderson,1,8,8,0,0,0.0,16.0,1.0,0,0.05193596306357174,1,0.15
 Baiju M,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
